ARCHIVO,TIPO,DIMENSIONES,ESCALA,UNIDAD,EJE_VERTICAL,REFERENCIA,TRIANGULOS,MIN_X,MAX_X,MIN_Y,MAX_Y,MIN_Z,MAX_Z
nicho_refugio_peatonal.csv,refugio_peatonal,1.8 m profundidad; 2.0 x 2.0 m; cada ~30 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,144,5998.951,6001.034,4500.000,4501.800,-220.092,-217.882
estacion_nivel.csv,ensanche_rampa_nivel,32 m; hasta 7.0 x 5.5 m; cruce de equipos,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1552,6000.000,6032.000,4496.284,4503.747,-220.453,-214.501
grifo_subterraneo.csv,despacho_combustible,28 m; hasta 9.0 x 6.5 m; berma de contención,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1326,6000.000,6028.000,4495.368,4504.748,-220.396,-213.509
subestacion_electrica.csv,infraestructura_electrica,24 m; hasta 8.0 x 6.0 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1204,6000.000,6024.000,4496.035,4504.031,-220.381,-214.033
sala_chancado.csv,infraestructura_proceso,34 m; hasta 12.0 x 8.0 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1670,6000.000,6034.000,4493.947,4506.074,-220.457,-212.073
poza_sedimentacion.csv,drenaje,18 m; hasta 6.0 x 4.5 m; punto bajo,1:1,m,Z,.claude/commands/mina-3d-trackless.md,970,6000.000,6018.000,4497.035,4502.965,-220.427,-215.554
chimenea.csv,conexion_vertical,60 m; diámetro 3.0 m; convencional irregular,1:1,m,Z,.claude/commands/mina-3d-trackless.md,2440,5998.278,6001.639,4498.243,4501.691,-220.024,-159.980
chimenea_ventilacion.csv,ventilacion_raise_bore,80 m; diámetro 3.5 m; raise-bored,1:1,m,Z,.claude/commands/mina-3d-trackless.md,3888,5998.232,6001.776,4498.230,4501.782,-220.017,-139.986
pique.csv,acceso_vertical_izaje,120 m; diámetro 5.5 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,4752,5997.223,6002.778,4497.222,4502.782,-320.016,-199.983
echadero_mineral.csv,manejo_mineral,60 m; diámetro 3.0 m; ore pass vertical,1:1,m,Z,.claude/commands/mina-3d-trackless.md,3240,5998.252,6001.713,4498.358,4501.711,-220.014,-159.989
slot_raise.csv,chimenea_corte_longhole,30 m; diámetro 2.0 m; cara libre inicial,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1248,5998.892,6001.088,4498.946,4501.059,-220.014,-189.980
camino_escape.csv,escape_personal,45 m; sección cuadrada 3.0 x 3.0 m; escaleras/plataformas,1:1,m,Z,.claude/commands/mina-3d-trackless.md,488,5998.461,6001.562,4498.424,4501.535,-220.017,-174.990
by_pass.csv,bypass_doble_ventilacion,2 x 120 m; 5.0 x 4.5 m; separación 15 m; 3 ventanas,1:1,m,Z,.claude/commands/mina-3d-trackless.md,20162,5999.959,6120.066,4489.934,4511.414,-220.867,-215.407
tajo_subniveles.csv,sublevel_longhole_stoping,tajeo 36 x 14 x 30 m; slot 2.0 m; 3 drawpoints; subniveles cada 15 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,11648,6000.000,6036.000,4484.000,4510.171,-220.541,-185.910
tajo_corte_relleno.csv,tajo_tabular,30 x 8 x 20 m; dentro de rango 5-20 x 15-40 x 15-40 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,1476,6000.000,6030.000,4495.758,4504.188,-220.068,-199.726
interseccion_4_vias.csv,conexion_reforzada,galerías 4.5 x 4.5 m; zona central +20% = 5.4 x 5.4 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,6164,5971.994,6028.000,4471.994,4528.004,-220.542,-214.573
tolva_drawpoint.csv,extraccion,acceso 24 m; 4.5 x 4.5 m; campana 15 m; diámetro 3.0-4.5 m,1:1,m,Z,.claude/commands/mina-3d-trackless.md,2444,5999.990,6024.003,4497.531,4502.486,-220.473,-201.979
